Minisector,LEC,VET,Fastest
0,251.14542690041552,247.02824939266768,LEC
1,205.25802692431452,205.16957291786235,LEC
2,197.78455123590595,198.5917946567894,VET
3,248.36276414086953,248.22534506771734,LEC
4,269.0139604295856,265.0704777971093,LEC
5,286.3686645093461,276.0124241856277,LEC
6,150.1979884508895,159.36916084999342,VET
7,176.48337288051314,182.76440972584274,VET
8,266.3373493348792,261.280916768254,LEC
9,293.2719334877558,286.747158692987,LEC
10,306.7939920255892,296.90661532631583,LEC
11,307.70919189707604,293.76856374720944,LEC
12,107.65310309767308,112.65060333611767,VET
13,186.0300724098297,190.50684513651723,VET
14,277.05298354733895,264.39592012985133,LEC
15,305.18092697843787,290.2818729881552,LEC
16,310.43708308317457,290.34229191111115,LEC
17,174.73799441857963,178.19008519632024,VET
18,210.59957475102038,210.78214158114773,VET
19,263.96809227230284,258.84530746469784,LEC
20,144.33602575327328,153.16385060154235,VET
21,139.74833232549042,136.69908369204722,LEC
22,218.7278756096,215.6802826264316,LEC
23,230.63846181850676,231.82822261398286,VET
24,153.05652032263743,151.50606143032175,LEC
25,,220.83888497777778,VET
