Minisector,VER,PIA,Fastest
0,279.27763311596635,271.59612243237433,VER
1,123.32997996385778,121.4746870959016,VER
2,156.63347438279445,169.94311994535016,PIA
3,218.5940937254155,210.51130247521365,VER
4,162.6726977464263,169.64641656681096,PIA
5,240.34179397447338,245.54263152484847,PIA
6,212.3210207483857,180.21389162607275,VER
7,132.18619168218402,139.86908353342886,PIA
8,230.3340799806579,238.71693913869714,PIA
9,274.3880851806862,279.5759644444445,PIA
10,286.4541692212885,275.9845544952381,VER
11,155.89710377638264,150.26367284482373,VER
12,226.17445644676332,233.04300468266666,PIA
13,271.4897368421053,276.53991158696743,PIA
14,268.46940962735965,234.55454792290908,VER
15,105.23394824750694,102.74131493597461,VER
16,219.65851337948988,232.6269980980787,PIA
17,269.29851540616244,275.79043498165834,PIA
18,290.120122905098,292.79016027333336,PIA
19,298.28446722523705,300.9796753346556,PIA
20,304.2518674136321,304.93346411323995,PIA
21,293.474345194794,240.0844807735232,VER
22,158.18509878334694,146.81578484866338,VER
23,236.73399444426923,245.93534250109528,PIA
24,275.1418174213075,280.43730439,PIA
25,283.38,,VER
