Minisector,HAM,NOR,Fastest
0,290.788278071973,288.95991560638214,HAM
1,164.66110827313636,159.5003371270963,HAM
2,152.82435318993228,152.7308458936063,HAM
3,227.14444448395062,229.00928647068076,NOR
4,281.69633761969254,283.357815347412,NOR
5,282.01693771018273,279.92341995718596,HAM
6,148.6583257919231,145.83086258698097,HAM
7,146.47655365614236,145.84691774630392,HAM
8,147.46291886922768,142.21176150297742,HAM
9,188.57766883001443,193.75019550060364,NOR
10,133.3517518115818,128.91211220786548,HAM
11,124.43158150743598,120.66648493340135,HAM
12,170.01155015907335,175.83674189397445,NOR
13,266.42914767726563,268.5917721142089,NOR
14,284.8761362909091,282.3845237995859,HAM
15,158.45252575054525,150.17675137722188,HAM
16,216.94977936931215,208.8302240125884,HAM
17,177.84872452032374,178.87860308670653,NOR
18,273.52500000000003,273.65324878095237,NOR
19,295.115476092517,293.17708315151515,HAM
20,308.24895833333335,304.6836463415247,HAM
21,314.50145818666664,311.03472218412696,HAM
22,317.2527976304762,312.83708336,HAM
23,326.20958336,315.07500002539683,HAM
24,328.52425061647784,312.9630952126984,HAM
25,324.46250026666667,,HAM
