Minisector,HAM,MAG,Fastest
0,232.04186661245154,230.50109062474067,HAM
1,281.2855932110255,278.90121303425207,HAM
2,295.38624056074474,295.35258913428834,HAM
3,302.50407716130707,302.6677975847619,MAG
4,277.8005062885794,273.11365815793243,HAM
5,174.54457065078898,167.19292804309126,HAM
6,262.62678239461695,256.8956053282389,HAM
7,278.41908932931705,278.1167203471614,HAM
8,224.78829994395673,222.66527123275213,HAM
9,221.67810273908657,216.79138443923202,HAM
10,193.71973441112002,185.4933149887996,HAM
11,228.27944053674523,219.50593007059757,HAM
12,213.4175949349278,208.51451869582723,HAM
13,223.369713972983,216.65560324723032,HAM
14,224.64014771213706,221.13553245075647,HAM
15,187.42328840589832,182.0246878265232,HAM
16,247.64884646891662,241.34286252993024,HAM
17,284.8424519907042,283.18012080497914,HAM
18,296.34466210443435,297.8831467623673,MAG
19,287.08811714326015,293.1993831890102,MAG
20,137.79162501304373,136.23701393903195,HAM
21,168.6495385750066,173.02832953816613,MAG
22,153.06353750405137,137.04830548208895,HAM
23,210.28789848640062,215.71488719365172,MAG
24,150.6893287676846,141.53240294642984,HAM
25,185.6,169.7458304,HAM
