Minisector,PIA,RUS,Fastest
0,324.5711478774532,326.1882654585034,RUS
1,335.35640428072816,335.38827164444444,RUS
2,335.7236457617778,335.7666019422679,RUS
3,196.61253144724046,196.5199611364345,PIA
4,140.18553836655272,125.84563179567611,PIA
5,267.9003567289559,268.03345716043424,RUS
6,302.9843779924007,302.93803804831646,PIA
7,315.96630691723965,318.98874163428576,RUS
8,263.48992102352094,274.1154882569697,RUS
9,144.5871651207869,144.22072531110976,PIA
10,224.89002219577964,222.6552383330994,PIA
11,234.6798029399756,231.67949666717064,PIA
12,208.54984814861496,205.12401183899013,PIA
13,272.28121416932277,272.7893604264218,RUS
14,309.01127801139904,308.0604949316248,PIA
15,321.03818993246756,323.5551337447619,RUS
16,274.38449429223107,265.3340404061111,PIA
17,221.59260225837684,223.06474475752654,RUS
18,282.912743236223,282.4557581643653,PIA
19,312.6957709157287,312.14622058251234,PIA
20,325.21008204035275,325.9541480949357,RUS
21,300.716084924041,303.8450193220796,RUS
22,214.44373477136713,215.2597495602789,RUS
23,269.7366264180316,270.43316266125714,RUS
24,305.0069215588007,307.8799750713464,RUS
25,318.6625008,,PIA
