Minisector,HAM,LAW,Fastest
0,291.1604403978562,288.6241506865359,HAM
1,299.79317665408206,294.34830507774893,HAM
2,162.6778954106298,153.17403577998093,HAM
3,220.25050305114317,220.85106472568665,LAW
4,272.7688654577778,268.19302005491653,HAM
5,294.12125830502106,289.4980530800907,HAM
6,301.2954265269841,300.31959827918365,HAM
7,179.92626021873724,161.61665164369333,HAM
8,128.58267379961433,137.491422633746,LAW
9,247.22499412419046,251.04292353886623,LAW
10,285.3467165008947,283.8396792670322,HAM
11,295.91506735714285,288.21515258753493,HAM
12,142.51260983682636,134.42028472872195,HAM
13,190.47953013017377,202.8921910962514,LAW
14,259.62982197603907,256.166358901326,HAM
15,208.42873822391417,190.38665575800397,HAM
16,213.66582341583398,214.6418147778355,LAW
17,211.81299231515152,208.86378814912632,HAM
18,241.51621569447252,243.36297437519588,LAW
19,275.8590227428572,275.1161581727273,HAM
20,293.64513230560846,291.08122557699346,HAM
21,256.0333068030476,254.96044066730462,HAM
22,216.674250547412,212.05911791897154,HAM
23,202.3721793748496,198.58895658757433,HAM
24,264.7440145062933,261.0596276306173,HAM
