Minisector,NOR,VER,Fastest
0,300.5820870870706,298.42018262692227,NOR
1,207.75288276139383,204.8656900392971,NOR
2,223.81436968655237,225.43807929701032,VER
3,274.7010281026757,277.75614666795315,VER
4,244.97162017376638,249.77270013676767,VER
5,126.49270335991018,127.19013733908548,VER
6,202.26344849486966,199.2869395470298,NOR
7,247.15654182090597,245.15434497634232,NOR
8,232.47483948433862,230.5637671540072,NOR
9,239.59647185553195,241.89540775328797,VER
10,286.4105369587252,287.79355346398586,VER
11,308.83720877291415,310.18286398043847,VER
12,316.6958806820202,321.3880384580499,VER
13,311.3108939088889,318.0160070231177,VER
14,302.6642948404762,309.60039175920554,VER
15,261.66577517876453,250.09773403404165,NOR
16,240.87373706666668,234.0882164932467,NOR
17,279.8240424617744,279.2730448897778,NOR
18,287.8219948039143,290.8979321365487,VER
19,162.85503772650486,163.5332275951664,VER
20,199.04185203665494,197.49143476769729,NOR
21,181.19965821683294,185.76978829609973,VER
22,133.06539192072697,128.11291584934554,NOR
23,236.94329830214025,238.4828343697733,VER
24,287.73174637206347,293.0801770662434,VER
25,297.4375008,306.5892854857143,VER
