Minisector,PIA,TSU,Fastest
0,293.6617989802215,295.7463637754459,TSU
1,214.0401143390891,200.87415475396807,PIA
2,228.02306866767955,230.29751939050504,TSU
3,272.55817312372005,275.1678074344194,TSU
4,243.04246674516594,230.7382967798942,PIA
5,130.72351193444513,125.36407309677442,PIA
6,214.0267647127321,212.08786824036787,PIA
7,260.17706691735015,256.42143497910087,PIA
8,251.27795780931604,242.01550053052526,PIA
9,240.9488540201023,237.20437129258445,PIA
10,272.3948596491159,273.37110863178856,TSU
11,286.83855019863944,290.7681794677339,TSU
12,293.14536262492754,298.48864329142856,TSU
13,296.80160415021334,301.52492957196444,TSU
14,297.1524795478261,299.8013944239674,TSU
15,262.77827658708827,254.88686328540393,PIA
16,250.04040023328696,244.05687678572144,PIA
17,275.63604846868685,277.1525178359486,TSU
18,284.82302944724125,286.4196715125802,TSU
19,167.47542620045502,157.08820015166086,PIA
20,216.40216263568598,212.76960253890363,PIA
21,191.94948535845916,175.69391227566095,PIA
22,138.90041052962047,145.59470369765668,TSU
23,234.68392926489926,239.21744503180375,TSU
24,278.3731957878612,282.0182992593743,TSU
25,289.86000128,,PIA
