Minisector,OCO,ERI,Fastest
0,290.98906213333333,302.30527053202644,ERI
1,301.72662856666665,306.6511111111111,ERI
2,158.4149164001242,155.75072446808076,OCO
3,222.0687136721885,227.11824489142856,ERI
4,276.6271941904762,282.4789062666667,ERI
5,296.69886087316917,310.4926943702269,ERI
6,305.3466145333333,323.19423081025644,ERI
7,178.24098388338882,166.35712206451615,OCO
8,124.19762391487765,129.96419182933332,ERI
9,249.79800908935502,252.73601217502704,ERI
10,285.60499996444446,290.75703146666666,ERI
11,297.90026033333334,305.9788888888889,ERI
12,150.91850652687057,144.78896293342953,OCO
13,189.89719181180476,197.07291786666667,ERI
14,260.6357445427984,257.7638202330349,OCO
15,194.66284791111113,195.06410698697093,ERI
16,217.34598110838652,225.55412059402434,ERI
17,208.02424281212123,214.9244026975099,ERI
18,240.7701945939022,245.3928248296296,ERI
19,274.6416665098039,275.2317136822555,ERI
20,292.34834447619045,291.97492700106557,OCO
21,255.79396956087314,250.09953517037036,OCO
22,218.54394007272728,219.0964946649995,ERI
23,201.64015132121213,209.19261464242425,ERI
24,265.46842173007394,268.5374472517454,ERI
25,284.18333226666664,,OCO
