Minisector,RUS,RIC,Fastest
0,286.93916974288334,285.1137153154638,RUS
1,289.71378085361505,293.8371326117647,RIC
2,162.48103796727042,159.5436183288548,RUS
3,222.24234030137566,217.2857106802886,RUS
4,271.11012208763856,271.63979792161615,RIC
5,291.40009959394956,294.8844810099444,RIC
6,295.12267846597945,302.48362661925927,RIC
7,163.9980721671499,166.39092955908023,RIC
8,123.88329692130621,107.71327263661377,RUS
9,253.5061810953623,248.4656457028432,RUS
10,283.40369762666666,286.84177441975305,RIC
11,296.9421284088889,294.99151785714287,RUS
12,151.52374812420084,139.24060255835184,RUS
13,188.31201719536492,184.26831264585883,RUS
14,254.6922987980724,254.51417651555553,RUS
15,201.46313216646465,195.4585164360197,RUS
16,209.22620101383387,209.1870255419604,RUS
17,214.68043350588235,196.64577168284023,RUS
18,236.37850231025195,231.79974953599998,RUS
19,273.6238534367291,273.11272035137256,RUS
20,294.55042782497503,293.4215029761905,RUS
21,263.1791552195139,243.86382255847622,RUS
22,218.47436277598544,210.35607620444443,RUS
23,204.99386098924768,206.7723649977897,RIC
24,261.77294164462586,261.69817029512603,RUS
