Minisector,BOT,OCO,Fastest
0,308.0934210245614,304.94473678596495,BOT
1,242.08800042378712,235.00027117807852,BOT
2,138.66718343057644,131.16758879619047,BOT
3,217.74047014805433,213.85391949039018,BOT
4,262.44145760000004,260.3497908419048,BOT
5,288.20251017854224,285.2675922962963,BOT
6,302.85984290412847,299.8371845541262,BOT
7,288.3285114385965,280.4087748491228,BOT
8,176.57511205700095,171.0038490262006,BOT
9,239.30546436017315,236.19764405797102,BOT
10,271.1699996266667,269.92434167017547,BOT
11,268.0633997754902,259.8015310940472,BOT
12,209.23766677333333,198.89797178694886,BOT
13,128.11436559310997,123.71849737284607,BOT
14,125.78171231316016,118.81661972239596,BOT
15,163.67265768095237,159.2833884906205,BOT
16,119.54178993689065,118.14259503128,BOT
17,232.24288230559006,222.938499328,BOT
18,187.9811324627702,174.75420410857004,BOT
19,158.01287783434344,160.4824652087035,OCO
20,245.18139574696653,243.44657091150358,BOT
21,275.2397551799499,272.59166618947364,BOT
22,291.65172144371826,288.32039215448026,BOT
23,301.269885739855,298.1990194823529,BOT
24,304.95694429629634,302.8366227087719,BOT
