Minisector,SAI,HAR,Fastest
0,250.91049525652218,244.97685222665177,SAI
1,281.78729130666665,282.0063492063492,HAR
2,169.60284408353172,172.2717093252151,HAR
3,167.06996562367164,161.11708501247793,SAI
4,255.51969378716353,255.50009755028796,SAI
5,266.3696067663534,271.12675848875267,HAR
6,221.5319145904762,223.6851816114612,HAR
7,200.56056595850248,198.56846039908322,SAI
8,159.59124395458193,159.6766131937971,HAR
9,224.30842609894768,221.58225208888888,SAI
10,270.27228257391306,270.61966767809656,HAR
11,128.85882892900483,128.1032547280844,SAI
12,214.0448547779254,217.16309379047618,HAR
13,276.31236387186146,274.63477298219385,SAI
14,296.9805370505074,296.15814519498747,SAI
15,304.60745611228066,304.31083328,SAI
16,227.63222744214315,217.98746448576733,SAI
17,130.90929125523036,129.71202740724343,SAI
18,129.42654404742524,130.416326059088,HAR
19,119.63976476498759,116.16532848218898,SAI
20,217.86720483415078,225.38194413827162,HAR
21,249.45634225564052,255.85851924605961,HAR
22,231.4820124498757,222.80771717530862,SAI
23,211.36924154320656,204.99481190694695,SAI
24,138.97539085367964,136.08314474265973,SAI
