Minisector,BOT,MAG,Fastest
0,287.5965277037037,281.9173811657143,BOT
1,297.522678163293,290.4846898519245,BOT
2,302.1236978857143,293.30753972486775,BOT
3,304.2259799215686,292.2379902117647,BOT
4,188.348459563801,179.5689500743776,BOT
5,222.7931816727273,214.89254669648034,BOT
6,249.5585119743632,246.183875168,BOT
7,269.886873118797,265.7535715689223,BOT
8,271.06157347724866,265.2649129543859,BOT
9,173.4313002457071,169.17517504435398,BOT
10,234.37023779740258,231.64124284081632,BOT
11,141.95539720050965,139.27182407162925,BOT
12,225.3175573740812,222.2769317106188,BOT
13,207.1050841777778,201.4695508102564,BOT
14,217.34894549191318,216.17069626924402,BOT
15,252.83145845333334,252.86914674285714,MAG
16,262.9401630877193,261.49494745028466,BOT
17,284.845325032791,279.97661997037034,BOT
18,143.04796425368022,134.28451292571364,BOT
19,162.3709868531142,163.55847098920634,MAG
20,150.50709508325653,147.18670106805146,BOT
21,172.11760743225807,173.52000860965555,MAG
22,124.22515029527554,118.65407099534883,BOT
23,227.00275004081635,217.6753684593479,BOT
24,268.2258776140351,261.62859866949617,BOT
25,281.26666666666665,275.5208341333333,BOT
