Minisector,RUS,GAS,Fastest
0,262.69757360793653,248.56778378112458,RUS
1,135.96836787736305,128.74246487195768,RUS
2,202.61573164431078,202.48262173454856,RUS
3,247.98272033946205,248.81820826557825,GAS
4,261.58275646271585,251.3686219102041,RUS
5,179.8758418989899,173.48326737505045,RUS
6,145.28078313071194,149.03325886445586,GAS
7,188.7313473046043,189.4097802123667,GAS
8,103.3964941618011,104.44029191582379,GAS
9,75.08495475732835,73.7992439770944,RUS
10,98.01724269198928,98.73315499866041,GAS
11,185.7596514934244,190.8997697945098,GAS
12,247.37414729650794,246.1331042624442,RUS
13,270.29441986666666,269.59246669668676,RUS
14,283.0332418813187,273.60676515164835,RUS
15,110.60451682993047,116.56830501774806,GAS
16,142.22421614572994,150.29716926046555,GAS
17,199.5921865777778,187.14520087866984,RUS
18,189.7386366790482,194.67925229222112,GAS
19,214.35076907629073,211.50330743195767,RUS
20,136.11109656091955,134.9328810384991,RUS
21,102.12174085503034,107.20751584893269,GAS
22,97.57023621635427,92.98245829162913,RUS
23,198.8598583041847,198.04780985110114,RUS
24,252.4366037342857,247.90636363506087,RUS
25,266.32500000000005,264.56,RUS
