Minisector,LAW,TSU,Fastest
0,289.0769258989051,289.9369453657143,TSU
1,160.62502477307493,163.5627567217516,TSU
2,164.99528355178683,156.13202498388694,LAW
3,231.9425233177957,238.4047651879243,TSU
4,288.870508667248,289.7388644920029,TSU
5,281.5731983978929,282.70816413671844,TSU
6,144.0331214740019,146.17556166077952,TSU
7,144.93511600438686,136.61396861057756,LAW
8,130.8709616617675,144.14382918900466,TSU
9,187.3480991090141,193.93593527823518,TSU
10,140.99334307834272,135.1484523579113,LAW
11,127.86753515438696,125.48291217874728,LAW
12,174.5033196135826,175.74524786515795,TSU
13,270.43073779485206,271.4909746380315,TSU
14,293.90165538518255,293.23871046470606,LAW
15,152.37922089488472,151.53135944937608,LAW
16,202.7018915652661,199.37815545473615,LAW
17,179.84815190570203,169.2998522976074,LAW
18,273.1988176239287,272.04605072463767,LAW
19,294.9338487006781,296.9262784228565,TSU
20,310.10974175703956,311.6413852558372,TSU
21,317.19566742254887,320.5223857265359,TSU
22,321.91765422337664,326.0339225346536,TSU
23,321.193248984103,334.7884131584416,TSU
24,310.1358280693957,340.3715131929038,TSU
25,,342.4675812225048,TSU
