Minisector,BOT,HUL,Fastest
0,299.63077289689863,300.21835297492566,HUL
1,256.473633237357,247.0135314387699,BOT
2,206.43973042748584,202.54547573310825,BOT
3,268.2324823990324,265.1555517520916,BOT
4,232.91086275808013,229.45209698362797,BOT
5,120.13894721525126,118.4962368188346,BOT
6,186.4985680945533,183.35147201327194,BOT
7,260.3335592467559,258.3440862146347,BOT
8,288.8165651824973,288.7467992593055,BOT
9,302.7560567480626,302.7079799465836,BOT
10,305.71267345222697,306.7412856057498,HUL
11,226.9065046606665,234.57291056010502,HUL
12,146.40563560298574,145.33449133019914,BOT
13,255.967326752197,259.00701897480343,HUL
14,289.86559847005424,292.6189402181218,HUL
15,300.97179482557885,301.9445008931774,HUL
16,295.5488558327831,296.6420568002674,HUL
17,271.58183491742017,267.59025619507753,BOT
18,194.57285096621126,186.42804932456465,BOT
19,194.10825103340323,190.70043929182913,BOT
20,191.01055244320315,182.09094978342347,BOT
21,252.4763853313687,251.460108764104,BOT
22,129.62958706214403,131.8578162997879,HUL
23,197.96695056897644,188.92257678935098,BOT
24,276.4715993461131,285.014494492317,HUL
25,,307.8,HUL
