Minisector,SAI,LEC,Fastest
0,303.7939278588573,308.0475050287035,LEC
1,285.1513888888889,290.5237316637681,LEC
2,173.61784951738593,168.06193247342173,SAI
3,196.28823535686274,198.64963203137253,LEC
4,216.28266763022953,218.54237018284599,LEC
5,265.38050001066665,267.92333354666664,LEC
6,235.84899327264367,234.11048836413792,SAI
7,206.02070326666666,202.5022137,SAI
8,177.9728629880342,177.79497872410258,SAI
9,156.89249146082892,160.6945801812367,LEC
10,187.10995377777778,182.40520791111112,SAI
11,194.40796935707445,191.12174655875342,SAI
12,242.8473545537919,245.21384160758427,LEC
13,169.0210862967147,167.46452912218444,SAI
14,238.8537703675485,238.73876558508888,SAI
15,275.3251405389947,276.70421429638094,LEC
16,272.58422614603177,277.4887517643244,LEC
17,265.63641991813796,270.6672001139237,LEC
18,251.5529322666667,253.53225315555557,LEC
19,254.8689128431844,252.76685800359778,SAI
20,235.25174160681703,213.76085500150378,SAI
21,164.19026687607908,167.5070499301969,LEC
22,219.14254018031747,225.64901810188172,LEC
23,274.4073830299597,277.73319233861287,LEC
24,295.50652178550723,298.4054384900433,LEC
25,302.0,,SAI
