Minisector,ALO,SAI,Fastest
0,288.5577012143693,289.37292227004644,SAI
1,295.40590984515154,293.26716382092377,ALO
2,167.8545904572699,160.2417764401347,ALO
3,222.12136367337536,222.4966237254266,SAI
4,269.6858661250269,272.5368343500891,SAI
5,291.6986255193277,294.79752801313873,SAI
6,298.94498104295366,299.14351833563813,SAI
7,167.61151202959707,163.6775341968254,ALO
8,122.09607852953896,121.97924510788319,ALO
9,244.56293526240557,246.16806540511277,SAI
10,283.2255190869145,284.4892954588002,SAI
11,295.0639389272271,293.8235819966984,ALO
12,152.29904086325215,145.69592878627705,ALO
13,182.58132917281966,195.26049586016688,SAI
14,253.24691644193732,255.02237587978638,SAI
15,202.32952730784436,201.10095664315537,ALO
16,213.9652076591304,211.67122522220606,ALO
17,208.31047703975995,207.73847386551225,ALO
18,240.87326714933334,238.42891473568628,ALO
19,274.8131246243771,277.26850746074075,SAI
20,293.5096215520448,293.00035778585857,ALO
21,268.3234029123232,257.54552503510206,ALO
22,224.6340474009917,221.87151061773105,ALO
23,199.74457686245015,207.25886701511112,SAI
24,262.7120024464762,265.6142982866121,SAI
