Minisector,NOR,STR,Fastest
0,256.03457710930945,252.65856504527576,NOR
1,203.95276359033195,206.47441989177204,STR
2,221.36483497748696,216.19045992397696,NOR
3,262.5216047407407,260.343011495445,NOR
4,276.5342076201141,275.0070869354307,NOR
5,223.64248590548726,224.59568421022158,STR
6,94.65263339492903,96.43010944370452,STR
7,187.4397840949748,176.69251735827217,NOR
8,269.16189379608977,264.169980430634,NOR
9,289.27211462611257,286.5071725073903,NOR
10,295.9154659957857,295.0298912463768,NOR
11,292.4420298086957,294.1763141466094,STR
12,113.46299627509994,141.31124776825396,STR
13,217.72877046088945,213.35950482951554,NOR
14,275.48166598095236,273.83584302912425,NOR
15,293.3522568888889,292.51156871777613,NOR
16,225.43078296774195,199.80025126818614,NOR
17,121.71601859236225,117.12785081786711,NOR
18,150.83685121473073,154.8826997277398,STR
19,252.74525951322752,253.70796476617465,STR
20,155.6751002472319,149.16158979447803,NOR
21,130.6604046971309,124.69596671307032,NOR
22,206.78953851817414,206.4212605661339,NOR
23,207.86365362922493,199.68712155400303,NOR
24,165.61595088737073,162.9975449241048,NOR
25,229.88333226666666,,NOR
