Minisector,ALO,SAI,Fastest
0,298.76567464126987,303.7939278588573,SAI
1,281.17429769701823,285.1513888888889,SAI
2,176.38876433354972,173.61784951738593,ALO
3,200.3796719298183,196.28823535686274,ALO
4,218.73516846202875,216.28266763022953,ALO
5,264.9682997900763,265.38050001066665,SAI
6,235.1696080995966,235.84899327264367,SAI
7,208.42929263838383,206.02070326666666,ALO
8,182.23384347378547,177.9728629880342,ALO
9,154.94888046999748,156.89249146082892,SAI
10,189.57379153704002,187.10995377777778,ALO
11,189.7917952461601,194.40796935707445,SAI
12,189.76334138076226,242.8473545537919,SAI
13,166.56729869253877,167.35339061155045,SAI
14,247.03088854057498,236.337993100821,ALO
15,272.25094104863354,275.00535472811947,SAI
16,261.6848755510044,273.0894345015873,SAI
17,255.23831990937262,265.83790374692757,SAI
18,249.9977057800935,251.5529322666667,SAI
19,241.9404772190476,255.68694795253762,SAI
20,260.50117490614406,236.54851798456139,ALO
21,189.57828812895187,165.8185806703425,ALO
22,224.4733688400325,217.3540711422427,ALO
23,274.2162689269841,274.4073830299597,SAI
24,291.6257125524969,295.50652178550723,SAI
25,297.3041674666667,302.0,SAI
