Minisector,BEA,OCO,Fastest
0,303.4945262192714,320.6057869748148,OCO
1,201.88619088350126,193.33850298469136,BEA
2,146.433942594557,147.12018602411896,OCO
3,220.55092688675052,215.0227404335601,BEA
4,160.4486559077692,158.77600148999574,BEA
5,186.95962368877392,186.73517828604025,BEA
6,257.38351853981777,255.18247536187175,BEA
7,280.80941554823534,279.8146822506205,BEA
8,287.1376301733333,286.13959568941175,BEA
9,265.278582506567,264.3495553185185,BEA
10,253.2075064051948,251.28728279111112,BEA
11,242.18756432847618,229.78164674165413,BEA
12,204.34243547977897,196.52017006083543,BEA
13,130.56948925123442,125.68186289258433,BEA
14,135.90102026835694,133.71858465735448,BEA
15,184.8733384209028,190.18027524435638,OCO
16,256.8750726417927,262.0489841082707,OCO
17,232.5674211149228,235.9575435587417,OCO
18,110.70090757863075,110.0676132353838,BEA
19,198.69643667046165,204.43919644719406,OCO
20,203.29007066419706,194.23003453333334,BEA
21,239.74731211208598,239.73578989640737,BEA
22,271.195637124183,277.98144969142857,OCO
23,289.92298582044447,299.12276326860444,OCO
24,301.746253583301,315.86302320798035,OCO
