Minisector,ANT,COL,Fastest
0,285.42989293252526,287.7789115203475,COL
1,292.72037033086417,294.07896817777777,COL
2,244.97873723980186,232.13860944124033,ANT
3,122.99466022552889,115.1338544872947,ANT
4,127.62331136595566,136.79481324641742,COL
5,252.04480089216932,256.6874453445488,COL
6,268.7164326189899,248.76722517042407,ANT
7,126.39144341642158,131.05878706069583,COL
8,250.3817781516883,246.26682573921119,ANT
9,256.4795269953674,249.6055988839619,ANT
10,214.6340009756499,201.3191622393387,ANT
11,151.7047285736341,144.20547861234297,ANT
12,194.26945464224664,199.91698574909879,COL
13,255.6774873568007,250.89991949726678,ANT
14,124.1788180416055,115.5307879636804,ANT
15,180.7658730414781,182.93872504173476,COL
16,261.13108808347823,265.61904709432713,COL
17,309.59850519293445,307.79605950839004,ANT
18,319.8139353952153,322.2798163037857,COL
19,313.5972782667862,320.80864286545454,COL
20,307.87177228590826,312.69981871310654,COL
21,218.5970792347386,185.2249792533101,ANT
22,134.97387323942888,136.83515595358938,COL
23,191.01165446619072,186.24711243910235,ANT
24,236.07383971878494,233.89924294624393,ANT
25,275.26000128,273.9916629333333,ANT
