Minisector,GAS,ALB,Fastest
0,288.660906540211,296.6048723160503,ALB
1,206.09129583654098,213.8346420580499,ALB
2,222.98566208422207,226.70146229242835,ALB
3,270.15751488,274.0897377491153,ALB
4,245.18441719906758,239.93670138758094,GAS
5,128.6969705771609,126.55862018278359,GAS
6,209.69375080691358,207.65787900376571,GAS
7,253.51942045654775,253.1198812612472,GAS
8,237.08298788500957,232.61596482653397,GAS
9,232.13352335783392,227.90263894201973,GAS
10,272.07473543837943,271.99120802321994,GAS
11,289.05147435885715,292.5179398679494,ALB
12,299.58661439668265,304.7613931088254,ALB
13,304.54627689280755,310.8597511296494,ALB
14,300.12820855714284,306.6669245710812,ALB
15,251.61532994768132,249.09482226814157,GAS
16,236.06155039268572,232.73316739199998,GAS
17,274.1572852864,275.7795371167457,ALB
18,286.9678908341568,288.32420991788524,ALB
19,163.06813391586894,145.42587332304626,GAS
20,206.9659622544684,206.41537624373603,GAS
21,182.80261629131456,174.18637825381563,GAS
22,137.87964556710602,141.76342333021424,ALB
23,230.67680074240002,237.84085740495863,ALB
24,274.89784700931125,280.19172583298246,ALB
