Minisector,SAI,ZHO,Fastest
0,316.08392667420895,319.64879388070176,ZHO
1,323.4429915912868,337.3572294372294,ZHO
2,320.0737337662338,340.1957008060251,ZHO
3,173.76980440930058,189.66288879670807,ZHO
4,131.66637870741943,124.8625420219251,SAI
5,262.35433333333333,261.1133280782222,SAI
6,296.05246245951145,298.9734693877551,ZHO
7,308.0082738095238,312.6089028266667,ZHO
8,259.0694323107953,253.99948095238094,SAI
9,145.85484459941912,142.00850464267643,SAI
10,214.70203863643843,206.0043804016182,SAI
11,215.92764081379744,202.56521672771672,SAI
12,196.18474471606825,179.08460611860227,SAI
13,266.07163991452893,263.29372059945297,SAI
14,301.9786461345672,308.9732144120301,ZHO
15,311.1108964460606,329.56055555555554,ZHO
16,265.8431165919414,259.09761304446596,SAI
17,209.55422797913835,197.8763787878788,SAI
18,272.1242658730159,269.07616185958017,SAI
19,304.079138676423,305.8864821428571,ZHO
20,312.3552814095238,319.5733135591232,ZHO
21,294.0595138888889,298.9016439909297,ZHO
22,208.33171059379055,188.76188758357307,SAI
23,263.9376227157287,260.9247314049587,SAI
24,299.837819179352,301.3182825846192,ZHO
25,310.6875008,315.0,ZHO
