Minisector,OCO,NOR,Fastest
0,292.66851165201786,294.73866074458874,NOR
1,297.347984628254,301.1174682642857,NOR
2,159.0695110885255,155.50468220951242,OCO
3,221.2531025822436,226.44717041622408,NOR
4,276.0587805852814,280.32574256969696,NOR
5,302.6032995856054,304.986836425172,NOR
6,308.93651721094875,316.0276189053968,NOR
7,180.32654475586406,153.6542188113839,OCO
8,123.40825434916214,120.99232505333731,OCO
9,247.32364382538526,253.516852975359,NOR
10,289.18467705044753,296.7151863340978,NOR
11,298.2243064888889,310.99806843047804,NOR
12,142.74180893942398,137.25001262393047,OCO
13,190.12148833260073,190.46557116173804,NOR
14,247.6436261298805,253.13412964865495,NOR
15,195.35736890006686,194.9148486373631,OCO
16,206.45096316703882,215.22527939357192,NOR
17,203.3547435502301,207.82505237317469,NOR
18,238.4742440169697,245.47931532613757,NOR
19,272.0632335983193,275.03049253304283,NOR
20,286.40931681257143,286.840609846049,NOR
21,259.4445093225389,252.11050348063492,OCO
22,221.2312445562283,211.69833480378006,OCO
23,193.31256039511982,202.03742196882894,NOR
24,257.4642622408242,259.84074316485186,NOR
25,272.63124880000004,,OCO
