Minisector,HAM,BOT,Fastest
0,234.48746153700435,234.62629642045394,BOT
1,285.52931228782717,290.09288425974023,BOT
2,302.1200757818182,306.83270842666667,BOT
3,308.60479168,311.7688392990476,BOT
4,278.48987092537817,280.42322201405693,BOT
5,174.61218292311963,171.486557679408,HAM
6,265.12707568451935,264.76656342525877,HAM
7,282.5625541610389,283.88384040865964,BOT
8,218.1357975793257,218.75454886743293,BOT
9,221.18461972016462,224.61863110734473,BOT
10,195.16181386897546,187.43744541645023,HAM
11,223.43350762405677,230.69515740191352,BOT
12,204.5122112639017,205.46187722949833,BOT
13,221.85630028584887,217.18606303316912,HAM
14,222.76307498456487,224.69381636705845,BOT
15,181.43834369808008,182.94510155319728,BOT
16,251.11112018451774,254.33126359079517,BOT
17,293.64594551458777,296.1642857142857,BOT
18,312.3208333333333,314.77658460208056,BOT
19,302.2813490285714,293.8950794057143,HAM
20,132.54875661663547,128.18109077780676,HAM
21,167.6399010813977,156.77964102116044,HAM
22,155.27273594554345,165.37637997460067,BOT
23,204.4242126311172,199.75107068257728,HAM
24,147.80884063749966,147.846411646165,BOT
25,187.33333333333331,,HAM
