Minisector,VET,HAM,Fastest
0,285.40509549559346,275.66680231837364,VET
1,304.2627110696869,294.5587287933422,VET
2,299.81416741797705,293.11953181241626,VET
3,172.00605653461201,179.00847305310657,HAM
4,116.10401491337133,117.61090920420709,HAM
5,244.38524644721525,234.91313946627014,VET
6,300.19752678047155,284.1148951812171,VET
7,321.07299709572305,299.5001983500997,VET
8,160.1484387245068,173.02286739795736,HAM
9,142.33645096086468,141.3521281141012,VET
10,251.9361761337389,253.753581263256,HAM
11,287.2139697592842,289.7124617146753,HAM
12,296.22773304242423,301.74546165537896,HAM
13,276.59713897490155,278.4691691206452,HAM
14,297.8377410593424,301.1871547059701,HAM
15,294.54726131362855,304.3968295188649,HAM
16,248.8256373126376,248.332115908875,VET
17,221.95523115754963,218.94304936637275,VET
18,279.2284940919358,281.148342527786,HAM
19,301.66002723301193,308.3456376735651,HAM
20,308.36853837936206,317.67539500926665,HAM
21,227.8447056087309,225.45093110803282,VET
22,258.76500848963235,257.7475275905883,VET
23,143.49499787992062,134.38310206022405,VET
24,213.32179020968215,204.40470848887497,VET
25,254.95000106666666,245.97095302133192,VET
