Minisector,RIC,GAS,Fastest
0,273.90329634646906,276.9481543867674,GAS
1,291.1231061818182,293.4784559723553,GAS
2,222.7797265736563,224.25442922707268,GAS
3,129.60509225086523,129.00376062238462,RIC
4,186.31332673414,182.4633997833267,RIC
5,124.66590473349699,122.98991706588076,RIC
6,213.8192097924943,211.71766059174604,RIC
7,261.43458124094525,256.84406459784736,RIC
8,184.54098152926682,175.66409889163197,RIC
9,181.3831789468159,183.6408074900614,GAS
10,260.56448713815433,263.7468340053333,GAS
11,189.17923401699045,182.51126744489056,RIC
12,166.945366144053,171.98313480002923,GAS
13,253.99231951765762,257.9183389351923,GAS
14,270.7831631278935,272.52304985303056,GAS
15,283.29563504761904,283.95543475942026,GAS
16,209.0208538381791,202.2504325114398,RIC
17,198.68489606666668,190.68327338548463,RIC
18,245.87942896731923,244.60532209995984,RIC
19,282.33876860289854,282.5598315858544,GAS
20,292.3112251912993,293.14096323463207,GAS
21,197.86924679951605,198.49099145674506,GAS
22,151.09377632581177,150.96782681479422,RIC
23,157.0112500068564,154.6081353557751,RIC
24,228.06815295036475,228.39625346643945,GAS
25,260.8333333333333,,RIC
