Minisector,LEC,VER,Fastest
0,250.52169986888887,248.34023013986393,LEC
1,286.2675604076872,283.17250464295125,LEC
2,182.7975978692789,182.7641066721693,LEC
3,162.28640765928608,151.93575771548262,LEC
4,257.4765884639318,255.24387239761268,LEC
5,272.44682827580954,274.5195889613162,VER
6,234.1672028383067,241.33558869319003,VER
7,217.59335405714288,207.2345313606391,LEC
8,162.3837270749655,159.59836089390177,LEC
9,217.24061318179895,215.7866076510985,LEC
10,273.93532564343593,269.98258414518517,LEC
11,125.26487178738941,126.92057581210351,VER
12,207.91877574357963,209.34899146248188,VER
13,273.90224910506663,273.16326564173914,LEC
14,299.1780549688889,297.2405072417924,LEC
15,310.06020474828284,308.2422574523356,LEC
16,256.90894552673967,244.93554734641327,LEC
17,130.67663945459765,129.79365183148715,LEC
18,132.50290015740782,128.57963968508815,LEC
19,124.79085068484869,122.27084451345311,LEC
20,220.0177989272193,223.15503664405028,VER
21,253.4903732104258,259.07881632009077,VER
22,243.83448660483515,244.71275663188928,VER
23,217.03220010111923,224.34619839722,VER
24,138.74016603177228,134.8428759112357,LEC
25,,215.88999808,VER
