Minisector,LAW,HUL,Fastest
0,314.86271990891356,307.83250756471676,LAW
1,216.87211483078238,246.9282142857143,HUL
2,128.19964133169324,127.47688337372176,LAW
3,213.1982028158373,216.75039285714288,HUL
4,261.8467103515844,261.9404370443476,HUL
5,290.5954955962437,287.40245535714286,LAW
6,308.62918256747696,303.65208333333334,LAW
7,283.69659987606445,303.76447601122914,HUL
8,170.44726884897867,173.18752727272727,HUL
9,239.30574266006352,235.7610755683969,LAW
10,270.78489401227404,270.8424970345295,HUL
11,257.35020338147183,273.68659226190476,HUL
12,199.4364780418612,207.72053744927535,HUL
13,122.65283770057142,127.78372612565782,HUL
14,123.71718345327332,118.68667914770212,LAW
15,152.66033561943487,171.10857280912336,HUL
16,129.50713817377058,120.28697424314255,LAW
17,220.7742368457059,221.18839276461136,HUL
18,167.78096418326385,192.90600328980315,HUL
19,165.3397245087679,151.58442673246256,LAW
20,245.99740634854066,242.14686716791982,LAW
21,274.1483579261104,273.2060884246726,LAW
22,295.74201092131165,292.00417748506237,LAW
23,315.01431447215685,310.4589285714286,LAW
24,327.331518927033,319.820030434388,LAW
25,331.95714194285716,320.06041653333335,LAW
