Minisector,STR,ZHO,Fastest
0,290.46477019083926,285.41167114848486,STR
1,298.74204541090904,294.44905525472063,STR
2,303.4564979326984,298.34288356923076,STR
3,295.1833035009702,294.8105368737866,STR
4,159.91549311731137,166.68033662634832,ZHO
5,208.62309530257863,199.36444111596248,STR
6,236.63583284977776,225.01387147470408,STR
7,262.24208301087947,256.756945487756,STR
8,247.25906100538037,249.15352945973146,ZHO
9,157.21354401391758,159.34255703285714,ZHO
10,224.11091690946913,224.08448190049492,STR
11,125.34333884937386,128.66082126915757,ZHO
12,224.0210658725898,223.57372023458228,STR
13,171.7236897582631,178.166528935602,ZHO
14,216.6477477179209,210.0301774191544,STR
15,238.0077886002886,233.91114363705628,STR
16,258.6229023670387,256.20491931605795,STR
17,281.26463583386317,279.19934632082163,STR
18,149.80381819864965,153.08011634455025,ZHO
19,160.27320310379025,160.68891028968866,ZHO
20,137.02613310484273,142.42778049655146,ZHO
21,224.11849884997383,225.3208166727901,ZHO
22,261.04306613494043,252.86482982399997,STR
23,250.14970332577477,237.88971386095236,STR
24,272.74003378666015,267.44115761002627,STR
25,,278.6,ZHO
