Minisector,VER,MAG,Fastest
0,248.46670519966312,238.59465882082426,VER
1,292.79055456053976,270.4172393321265,VER
2,170.47493332466416,175.124824667356,MAG
3,166.09537005908962,147.44351978374488,VER
4,257.80134599599415,253.56136768595042,VER
5,264.8929823399553,264.8678624740142,VER
6,220.03553245025728,216.74386169516387,VER
7,191.33245164356126,193.04467333028413,MAG
8,155.80096034599833,149.77187539948054,VER
9,210.1155461247668,204.98671618975055,VER
10,270.73237983981556,264.61104595441503,VER
11,122.02328198342093,120.94120656309637,VER
12,208.13850446170892,198.52757337134665,VER
13,277.00956527912166,262.78442823318176,VER
14,305.5258343995939,286.16985891929824,VER
15,322.1247780705096,295.06160315702834,VER
16,260.17072640678265,266.2468362988745,MAG
17,129.2582277575864,132.44480940880948,MAG
18,132.60550069647334,126.69240862027708,VER
19,119.62975269663309,119.26117296349979,VER
20,224.86420520634923,216.07236095364632,VER
21,250.88778507889876,252.60425884981686,MAG
22,225.98578318444368,237.39269269604847,MAG
23,207.1087165762605,198.2831171488998,VER
24,135.4980324672097,128.78409341740746,VER
25,215.925,206.74597166222222,VER
