Minisector,BOT,GAS,Fastest
0,306.05689298590477,288.660906540211,BOT
1,213.67613214253677,206.09129583654098,BOT
2,226.9023478866658,222.98566208422207,BOT
3,278.56797861248555,270.15751488,BOT
4,252.42172829139892,245.18441719906758,BOT
5,131.4244350495352,128.6969705771609,BOT
6,210.2700285238243,210.52611684952382,GAS
7,255.16470542933845,254.3743963089039,BOT
8,237.3510352578266,237.08298788500957,BOT
9,232.44098008180777,232.13352335783392,BOT
10,273.90761638617283,272.07473543837943,BOT
11,293.0185272617544,289.05147435885715,BOT
12,303.7734168586667,299.58661439668265,BOT
13,309.73146936541355,304.54627689280755,BOT
14,307.32523391369966,300.12820855714284,BOT
15,251.06404748843536,250.62123073430894,BOT
16,234.38082752737654,236.49041705904764,GAS
17,275.8483483173449,274.1572852864,BOT
18,290.3506003605549,286.9678908341568,BOT
19,154.48890491856352,164.10445922036175,GAS
20,210.85727179880837,209.19916732234074,BOT
21,186.475635443318,178.00430060359017,BOT
22,138.12114716154161,139.86063994370636,GAS
23,238.45382867860587,231.84307763692308,BOT
24,279.00700057371427,275.7153674216237,BOT
25,288.73500032,,BOT
