Minisector,BOR,ANT,Fastest
0,326.5383036398143,323.21295493171715,BOR
1,336.86925006019044,332.867932793939,BOR
2,334.58525525131023,336.6802755833584,ANT
3,195.00319196270607,194.11248505280076,BOR
4,133.32883800315247,135.49633099026957,ANT
5,264.63615120177917,269.3589985502368,ANT
6,305.51195351625256,302.9237995661153,BOR
7,320.74523311725125,317.08018353499267,BOR
8,280.84812805435536,261.54390082336505,BOR
9,146.29529021187682,151.94075581401168,ANT
10,226.09303340725623,224.32729944130634,BOR
11,224.14352164615866,230.96727837622106,ANT
12,201.28407466432404,214.543810419343,ANT
13,270.8741914836556,274.9729260395257,ANT
14,308.7463065228833,308.4054359691082,BOR
15,324.5607264419008,319.36336581019606,BOR
16,271.463578360138,267.7783075917949,BOR
17,205.90209708932497,222.99832193994018,ANT
18,277.4781327670857,282.1782155884144,ANT
19,311.4426597036077,312.7652843104531,ANT
20,325.76232153396825,325.6284398286869,BOR
21,313.62254566529265,308.6218834346667,BOR
22,213.18039067397987,216.09186995053142,ANT
23,273.0841814351415,269.6100960928468,BOR
24,308.460750735507,305.5579053979138,BOR
25,319.9611114666667,,BOR
