Minisector,PIA,HUL,Fastest
0,328.99536458333336,307.83250756471676,PIA
1,224.6163542746495,246.9282142857143,HUL
2,134.93163562999501,127.47688337372176,PIA
3,220.3673149511111,216.75039285714288,PIA
4,265.1332098765432,261.9404370443476,PIA
5,292.57598897582415,287.40245535714286,PIA
6,302.0974172511006,303.65208333333334,HUL
7,279.1014705882353,303.76447601122914,HUL
8,180.36806784792,173.18752727272727,PIA
9,243.38427736006682,235.7610755683969,PIA
10,267.70626148705094,270.8424970345295,HUL
11,260.42648838857144,271.0579691876751,HUL
12,214.91852813852813,206.75328915151513,PIA
13,127.33748194481075,126.68032085937493,PIA
14,122.70197606329675,120.81966157106783,PIA
15,175.66008387445888,171.48296439464644,PIA
16,121.42564367195314,122.38468544727039,HUL
17,230.99675505050507,222.30357133116985,PIA
18,183.7941424514271,186.8784421741564,HUL
19,164.59576707724867,156.5216457416399,PIA
20,248.43889704981157,243.39947089947088,PIA
21,276.9178042328042,273.2060884246726,PIA
22,294.4988234875817,292.00417748506237,PIA
23,304.6954676042723,310.4589285714286,HUL
24,310.5018576388889,319.820030434388,HUL
25,312.0,320.06041653333335,HUL
