Minisector,HAM,LEC,Fastest
0,291.13088402341856,292.12155779710145,LEC
1,301.0930643279503,300.6278984811594,HAM
2,275.3403730804799,283.40900275581816,LEC
3,116.39511041312467,112.77010523606636,HAM
4,228.1167091115613,231.20535641904763,LEC
5,272.09077165936293,273.13386276325826,LEC
6,219.39770962380953,205.02209745454545,HAM
7,175.17917701278245,176.61773630660457,LEC
8,209.23914104242425,218.27494939435854,LEC
9,217.9268068580979,228.0211115631746,LEC
10,120.24437897207484,119.67455968974377,HAM
11,229.80277735111113,233.17122560723232,LEC
12,121.90216956276115,120.40587343328004,HAM
13,229.66353073529797,228.87632851809525,HAM
14,274.125166976,274.3159417507246,LEC
15,218.2051564263677,216.4225769170563,HAM
16,210.9211508,205.4362113551515,HAM
17,253.81244881783243,256.0777241025641,LEC
18,207.08610922020202,201.69029737268505,HAM
19,199.2680731706898,194.08980977030814,HAM
20,267.49573883733336,265.210049992674,HAM
21,287.1385868985507,288.75905785507246,LEC
22,172.98317359942627,163.56544796040188,HAM
23,222.18158006121834,223.26833216000003,LEC
24,274.7913414843197,274.0772560203106,HAM
25,285.72636810217574,,HAM
