Minisector,VET,LEC,Fastest
0,291.9063623373494,301.6219182840579,LEC
1,161.03539966996362,163.45735865686808,LEC
2,155.83020937614035,154.1115049405353,VET
3,228.09761843809522,233.6891026271043,LEC
4,285.5611278575569,288.4674229140514,LEC
5,288.4390257447741,288.4613294842474,LEC
6,148.68650046071164,150.34447183865353,LEC
7,146.85333638803988,148.76064423963783,LEC
8,147.04718757056278,150.01165840242004,LEC
9,190.01351073949175,197.34519971616945,LEC
10,132.47693982352976,134.7019522511164,LEC
11,124.27699099203691,126.1777839834269,LEC
12,167.90722513049204,171.01844490954954,LEC
13,269.44602169766233,271.18703642962964,LEC
14,290.1608817388821,293.8062498909091,LEC
15,151.66673243851469,157.60666545133566,LEC
16,211.3942203526882,211.97069895854054,LEC
17,177.1385509317614,176.89327169742276,VET
18,272.9086799111111,278.33489533333335,LEC
19,294.73389990022673,300.61796450157186,LEC
20,308.11467238095236,316.71229147428573,LEC
21,315.62220707689846,321.74749994666666,LEC
22,318.7167919799499,318.87296961537356,LEC
23,319.91208330666666,327.13190464,LEC
24,319.1317432932101,331.0023496501253,LEC
25,317.6916672,329.1541664,LEC
