Minisector,PER,STR,Fastest
0,244.31323568953712,243.3331433482664,PER
1,277.366944167718,279.7712411885714,STR
2,180.2238389281439,169.76461784760573,PER
3,148.79709163705834,153.67878454953296,STR
4,254.62159997384754,256.5927659178667,STR
5,265.7395781735727,261.0303328238509,PER
6,225.6239092530939,220.41646301209806,PER
7,204.54279634708416,202.0778238300092,PER
8,154.5577589297571,156.08075501744236,STR
9,209.43537463077317,215.91031818830498,STR
10,268.5023348738949,273.61967013018386,STR
11,123.0432868482469,121.5792795806376,PER
12,204.70179534365812,212.16286547510907,STR
13,268.4458598484849,276.30507464177765,STR
14,290.1931450721084,303.2406318115797,STR
15,298.59014223871367,314.8403934222222,STR
16,245.03634998881844,249.33323563988571,STR
17,134.20245128786527,131.48197876600048,PER
18,133.10281354054067,130.48848713906875,PER
19,119.25538929349055,119.98193922871377,STR
20,221.3229202835055,225.86602636094688,STR
21,253.68984444444447,254.61309197189735,STR
22,240.94865495234174,225.17734119398222,PER
23,214.61171319102354,207.06624955333845,PER
24,140.22533566400244,135.21125072466486,PER
