Minisector,SAI,OCO,Fastest
0,249.86012596657147,248.59362970369318,SAI
1,119.69663177193596,126.35578104835932,OCO
2,256.02121201965963,260.135996084255,OCO
3,302.9333773488552,302.7188073695073,SAI
4,304.32032064610524,304.06255680783215,SAI
5,311.98358149274725,312.555811797551,OCO
6,314.813742315873,315.9376663812987,OCO
7,313.2000609188571,310.74835656634923,SAI
8,183.76253713314057,190.82920310355718,OCO
9,181.80923539374092,184.1561840383431,OCO
10,170.8400510220358,179.80831707666613,OCO
11,169.10111403067964,168.36087324996683,SAI
12,251.3621576626163,244.51201365645824,SAI
13,268.74703942066003,269.19805102881884,OCO
14,278.2239722446828,273.1466491661662,SAI
15,267.6202225879365,263.5059018009985,SAI
16,166.9711050331108,168.72804105012858,OCO
17,175.6649411918992,175.19719830402778,SAI
18,231.05504225613444,229.53914824741855,SAI
19,279.7562289377289,277.9790274452279,SAI
20,301.1306130831911,300.9384385382953,SAI
21,307.0580116752726,309.09540116707734,OCO
22,305.2421330901745,305.1845881081023,SAI
23,249.55927458990053,241.34219332176366,SAI
24,108.67083958450594,114.51262772723237,OCO
25,222.0999936,,SAI
