Minisector,HAM,PIA,Fastest
0,304.1606330743936,303.07624460720496,HAM
1,146.28869769605777,139.22729312674522,HAM
2,212.72294173175612,211.3151119808311,HAM
3,276.9847508384416,271.857040080202,HAM
4,313.5411788098927,310.77629328492367,HAM
5,323.8099100612615,316.29571986989896,HAM
6,148.67236482190708,147.41623422199135,HAM
7,247.2873942708265,238.37610781432292,HAM
8,126.93754926055152,111.55298342737122,HAM
9,143.84973257448067,145.59402002290622,PIA
10,268.03624781103423,271.37785314922735,PIA
11,297.7002742209524,296.18570828556193,HAM
12,253.49164271827235,240.24733224652644,HAM
13,153.2459350904423,156.5602474115704,PIA
14,266.944806070876,275.07640822352596,PIA
15,305.9411815478324,306.9090427371503,PIA
16,322.60017941243757,322.4794809503934,HAM
17,332.25564924081635,330.456536417741,HAM
18,337.35459380000003,335.66177978666667,HAM
19,336.7910739117255,337.0660802513072,PIA
20,226.62892702164814,217.31542235659253,HAM
21,151.03955060381142,162.44162931947295,PIA
22,272.61443117180323,275.66791866097753,PIA
23,309.85940537627704,312.98532694539335,PIA
24,324.7323351089324,325.1967176170522,PIA
25,321.4124992,,HAM
