Minisector,HAM,KVY,Fastest
0,276.7874121821167,275.86728559483686,HAM
1,293.6143308901935,294.2444477127281,KVY
2,288.2825223671014,289.70301994624845,KVY
3,190.66045455628816,179.35244975990733,HAM
4,129.18489883835983,128.00854487601248,HAM
5,238.48184603253685,239.43858554718946,KVY
6,284.6258660114214,280.9157941181609,HAM
7,293.68266666666665,284.96968864468863,HAM
8,183.6911530533063,171.17003851784347,HAM
9,150.62028479093996,142.33366847173878,HAM
10,253.41378073732844,251.68025921124072,HAM
11,289.3744283153148,284.84965430138277,HAM
12,303.07968033649655,293.98653842051283,HAM
13,282.41316672,281.8569522529524,HAM
14,299.8137859474285,297.9545831111111,HAM
15,302.4310515873016,300.505668612168,HAM
16,265.49605896830496,246.51114524374742,HAM
17,232.44261834622353,225.39862709445995,HAM
18,283.8303337386667,281.43124192705176,HAM
19,308.1063323076823,302.4680445848695,HAM
20,310.0295072562913,307.1661495784679,HAM
21,237.7339868677994,219.89554845172012,HAM
22,262.6525512272109,256.62241327816093,HAM
23,140.25271758231466,136.93956982473796,HAM
24,214.85451497095292,216.13968299254853,KVY
