Minisector,VER,BEA,Fastest
0,281.7045570957453,296.46930316880116,BEA
1,152.4948914343977,154.75790322850105,BEA
2,148.06433465868784,153.76479554552105,BEA
3,224.09686910121636,224.88857898155604,BEA
4,286.36815716173913,289.35252258933184,BEA
5,287.0989490908124,288.3940522325457,BEA
6,139.42942630762528,140.15377174162106,BEA
7,136.26991334070652,132.36217717249878,VER
8,132.41045109868648,131.97723096112847,VER
9,183.43907545239057,185.93574452333334,BEA
10,128.27191976371805,126.1632305980308,VER
11,119.04156717749127,123.12263809018658,BEA
12,164.8166050531777,162.0361466011954,VER
13,267.54800482709607,268.40768555408425,BEA
14,292.24316285925596,292.82822474037215,BEA
15,149.95290397335702,143.5731536464759,VER
16,202.82230592852815,199.45615012305447,VER
17,172.67771977146631,167.5129007549434,VER
18,269.57205858416586,270.89030739890575,BEA
19,293.171235224127,297.72435087792206,BEA
20,307.6064753376266,313.39549166956783,BEA
21,316.80624994285716,322.5934771225397,BEA
22,321.76626701931974,326.1716669471605,BEA
23,325.3809523163059,328.5845648077398,BEA
24,324.0182256399093,327.6839729777778,BEA
25,,324.0,BEA
