Minisector,HAM,GAS,Fastest
0,270.0809546353038,260.6510051678161,HAM
1,131.03203516716022,135.69468098743334,GAS
2,269.0602663238095,263.759756291047,HAM
3,315.822451155923,300.7727926031746,HAM
4,315.87569453968257,296.0018890168761,HAM
5,327.7045467195022,304.281333248,HAM
6,332.8634385312803,309.4361109777778,HAM
7,331.60549246060606,310.40758115555553,HAM
8,194.86635674666667,202.35206734182785,GAS
9,199.4864913176824,199.40577570365514,HAM
10,184.1312258788367,181.09011608914403,HAM
11,164.32417767169267,168.95358470763946,GAS
12,256.1739233376344,253.01382869333332,HAM
13,282.9785016469542,276.1936729283951,HAM
14,281.4232708645807,275.0632589525118,HAM
15,275.17099728868465,273.0656886802721,HAM
16,189.47219182026862,185.32314487165766,HAM
17,195.82567469075897,192.454055138569,HAM
18,243.1956937146861,239.8574731657363,HAM
19,292.4099228092728,285.0697618041905,HAM
20,314.01719165528215,304.0642490498317,HAM
21,321.6503106385093,310.78802079999997,HAM
22,320.96053303944495,309.53638095238097,HAM
23,259.1180169142857,252.18028672387507,HAM
24,115.60659998791603,114.81019457838246,HAM
25,231.7,229.30000213333335,HAM
