Minisector,PER,MAG,Fastest
0,286.40515393729436,273.0316488378117,PER
1,310.9216185682967,289.1298406117647,PER
2,316.9775934028011,292.5232462917293,PER
3,127.92709732958976,128.46888286458048,MAG
4,204.50630314779542,204.26435338901098,PER
5,261.6627587622605,254.25750809395407,PER
6,140.82235425688546,141.8508042821107,MAG
7,204.81763467294564,209.27116738648118,MAG
8,258.5031737904762,261.3781742730159,MAG
9,282.64436036821394,279.88167100380986,PER
10,235.55235004768306,233.76016027614295,PER
11,176.82230279111113,181.20807635301585,MAG
12,194.56278420689273,195.84194479541446,MAG
13,141.25201909713445,145.20079889793848,MAG
14,181.04950399492063,182.75331383873018,MAG
15,165.1873510730014,166.17516944703917,MAG
16,224.87187391111112,221.7042406984127,PER
17,237.0515732604081,236.03267603208678,PER
18,240.42777355263775,238.86391352747466,PER
19,233.49195288115942,226.74116808533333,PER
20,144.538954143841,145.1097341803873,MAG
21,134.4056100889055,133.19586304361266,PER
22,177.87638812444445,174.2465820313364,PER
23,152.02683412214583,152.1569523992063,MAG
24,232.7527702626238,231.6282600811594,PER
25,,261.1562496,MAG
