Minisector,NOR,PIA,Fastest
0,308.7483833936842,328.99536458333336,PIA
1,237.4555419954978,224.6163542746495,NOR
2,131.60708444437446,134.93163562999501,PIA
3,221.2294575021068,220.3673149511111,NOR
4,263.19557973620965,265.1332098765432,PIA
5,293.0485408498997,292.57598897582415,NOR
6,306.88244428800004,302.0974172511006,NOR
7,288.16145854306876,279.1014705882353,NOR
8,173.43759604512823,178.86279056183682,PIA
9,231.95171803999997,242.11506349206348,PIA
10,274.4481729974026,267.70626148705094,NOR
11,273.2396708888889,260.42648838857144,NOR
12,211.98770985165945,214.91852813852813,PIA
13,126.42347701655558,127.33748194481075,PIA
14,117.87658424792463,122.70197606329675,PIA
15,169.6493225075132,175.66008387445888,PIA
16,118.69253342520058,121.42564367195314,PIA
17,225.2692024204287,230.99675505050507,PIA
18,198.59803118814816,183.7941424514271,NOR
19,158.43176916292776,164.59576707724867,PIA
20,245.67524404994708,248.43889704981157,PIA
21,274.37428763247027,276.9178042328042,PIA
22,291.2295903756254,294.0924999555556,PIA
23,301.0652677942857,304.4315056325386,PIA
24,306.87479513801935,310.5018576388889,PIA
25,,312.0,PIA
