Minisector,PER,SAI,Fastest
0,269.7806255418256,267.4814833533333,PER
1,300.07371066666667,297.8893619755742,PER
2,321.06149357564425,316.48498987779595,PER
3,333.0429398192092,328.5265731257582,PER
4,340.8208547938462,335.0606289807163,PER
5,345.73781244571427,334.59344704484846,PER
6,221.3726120810729,223.55407955994926,SAI
7,102.62560044316633,103.97645360298023,SAI
8,179.73868287647963,183.90216132571427,SAI
9,260.2964750723597,255.07162395009522,PER
10,297.23272686545454,282.1343744408163,PER
11,169.19537045532851,169.20096103908045,SAI
12,95.4422718168413,93.08395136695097,PER
13,109.95170995713198,113.4471867917427,SAI
14,215.325688696,212.68225372300788,PER
15,181.18711699807778,175.8509337404555,PER
16,219.33758023659908,221.48316767804477,SAI
17,169.2873116961134,174.27403915136978,SAI
18,224.5839877523221,230.38653986117313,SAI
19,274.102151648254,273.26406635864873,PER
20,239.55021434052802,244.8530197726984,SAI
21,145.11986366350047,146.6332994770874,SAI
22,94.25943294408506,96.96581405710026,SAI
23,118.99136039796397,122.72035043104646,SAI
24,220.95803802222864,218.19936209888198,PER
25,253.1,251.25,PER
