Minisector,LEC,RIC,Fastest
0,257.90311271217564,263.54942895336586,RIC
1,135.16136850631685,137.4504715914144,RIC
2,263.8040040420752,265.5475076410661,RIC
3,309.0362032370068,309.4313651460063,RIC
4,308.9533803279412,310.4153662359596,RIC
5,317.6966689846154,319.3021634477682,RIC
6,322.2766262537374,331.3746981052678,RIC
7,318.2379869845182,341.64558134975897,RIC
8,201.11357603335333,194.97895473709573,LEC
9,203.92878291809524,196.30565077090773,LEC
10,179.43022387906075,183.51047686611255,RIC
11,170.58906959502238,169.14688164192654,LEC
12,258.102719400892,246.07054488200657,LEC
13,279.5001157176157,267.86943867648273,LEC
14,283.8066470554215,277.2623023380889,LEC
15,276.3309436737566,268.87575826857744,LEC
16,176.30680512707391,171.19197297615776,LEC
17,192.82183977815933,192.2547715679372,LEC
18,246.9101717896517,243.21938430669064,LEC
19,288.32689999999997,285.6881461934776,LEC
20,306.2500537590528,302.4436693206025,LEC
21,313.50214285714287,307.2493332707556,LEC
22,311.2129070491488,305.4038563272168,LEC
23,258.6432041544111,249.1281440421978,LEC
24,121.5932329648616,118.39891245059171,LEC
25,,229.7249984,RIC
