Minisector,BOT,VET,Fastest
0,287.5965277037037,292.2644673185185,VET
1,297.522678163293,302.7927082666667,VET
2,302.1236978857143,307.38562868025286,VET
3,304.2259799215686,307.16911861960784,VET
4,188.348459563801,180.43396263704392,BOT
5,222.7931816727273,216.86484958487267,BOT
6,249.5585119743632,248.39611639727892,BOT
7,269.886873118797,272.4896330400687,VET
8,271.06157347724866,274.1178235259259,VET
9,173.4313002457071,164.77252772203036,BOT
10,234.37023779740258,233.61390582164503,BOT
11,141.95539720050965,136.9489603206997,BOT
12,225.3175573740812,218.95869375072462,BOT
13,207.1050841777778,197.05850617805268,BOT
14,217.34894549191318,220.14499363463202,VET
15,252.83145845333334,254.3368419368421,VET
16,262.9401630877193,265.9645716017649,VET
17,284.845325032791,289.6486110222222,VET
18,143.04796425368022,135.39456056296297,BOT
19,162.3709868531142,162.0222876025865,BOT
20,150.50709508325653,146.16796508629147,BOT
21,172.11760743225807,170.43916643555556,BOT
22,124.22515029527554,119.85316272750822,BOT
23,227.00275004081635,229.90102262277685,VET
24,268.2258776140351,273.49355163597886,VET
25,281.26666666666665,285.6749984,VET
