Minisector,BOT,PER,Fastest
0,234.62629642045394,232.36324766117002,BOT
1,290.09288425974023,287.624910072397,BOT
2,306.83270842666667,303.67124575245026,BOT
3,311.7688392990476,307.12738087619044,BOT
4,280.42322201405693,271.3220461777778,BOT
5,169.53386943716933,165.86095699928092,BOT
6,263.80892888253965,261.223005504827,BOT
7,283.88384040865964,280.43157473939397,BOT
8,220.85292561269839,208.00159687489366,BOT
9,219.5036714754642,216.8952502802721,BOT
10,192.9764605922078,182.96606392739497,BOT
11,225.4221160661309,220.23643410706075,BOT
12,207.0972731371483,196.91121054716456,BOT
13,219.86192510213465,211.62197731605454,BOT
14,220.9494152382958,216.24378454619725,BOT
15,182.0150555204482,177.6022946736946,BOT
16,250.34541344041165,248.02227266666668,BOT
17,294.3640151757576,293.17950192466265,BOT
18,314.17658460208054,311.64199423238097,BOT
19,303.14316670933334,301.8794241182383,BOT
20,130.14873208619736,128.64238968190054,BOT
21,160.41370358116046,165.25646886716956,PER
22,156.80638740684802,147.8728570188801,BOT
23,205.86188103465102,204.94130367311828,BOT
24,147.63034098692376,142.17991962868808,BOT
25,,184.31666346666668,PER
