Minisector,HAM,ALB,Fastest
0,317.2037499352381,320.1284231556663,ALB
1,323.55041664,326.89473500697403,ALB
2,325.7548245333333,321.8945490606516,HAM
3,173.57364994800514,165.28648307014845,HAM
4,140.19400462414194,137.3985340641735,HAM
5,270.85117226748736,269.7065055093686,HAM
6,298.4028143768522,301.584964298494,ALB
7,309.88083322666665,309.075,HAM
8,261.88739051959413,253.09790216779095,HAM
9,163.580154059243,156.66282882184254,HAM
10,233.9430611569097,221.16810419499953,HAM
11,238.60569959267397,227.72588514774117,HAM
12,213.69454306933415,204.3776201204301,HAM
13,276.40731102709645,277.00984833939395,ALB
14,303.83757152701014,307.8419640380952,ALB
15,316.98564361539565,316.7803296676719,HAM
16,266.9102912380952,252.37266509402366,HAM
17,228.29019317650273,221.96247609039108,HAM
18,281.74477854199137,281.60463725450995,HAM
19,307.22073657182113,311.2615950795792,ALB
20,318.1139582933333,322.24868429473685,ALB
21,303.22297000731277,290.1326132340261,HAM
22,227.0838650473145,213.4375848471655,HAM
23,276.8112079070449,273.3334700079485,HAM
24,305.47192558701215,305.7009525180953,ALB
