Minisector,PER,RUS,Fastest
0,291.8805278734288,287.8369932214665,PER
1,299.70472746666667,293.1511597339194,PER
2,164.7868856979581,163.48729003803987,PER
3,223.9550864529323,221.70419113771732,PER
4,273.234751325042,268.5893458680112,PER
5,293.08037542457913,289.00896892026145,PER
6,303.0314627256565,298.04765453605444,PER
7,175.7608861197616,163.10405229714286,PER
8,126.01764359560609,126.29149908396222,RUS
9,247.51591458861074,246.2071954225037,PER
10,284.2280849662337,280.61389742406857,PER
11,297.30808257212124,292.7569993386667,PER
12,148.5958773113473,141.04757496593845,PER
13,191.05614014894016,188.71361365679653,PER
14,256.5513513812387,252.76577093437294,PER
15,208.38352224620212,205.2280218744179,PER
16,214.87565966101207,208.98189903417492,PER
17,215.48045461478458,209.29313426136062,PER
18,240.54546292664998,236.65314926724085,PER
19,275.21556224560146,272.8876611511449,PER
20,291.30080570687966,291.3992158512045,RUS
21,261.7788755241099,262.3317130195128,RUS
22,223.10624326894924,221.77256877005962,PER
23,204.69136616847888,206.60795610389613,RUS
24,265.21552557825055,260.597632138005,PER
25,,277.63500288,RUS
