Minisector,STR,VET,Fastest
0,275.1806340280435,279.70946879927953,VET
1,292.638773020314,296.9842714388993,VET
2,290.59732688776734,296.4040194598194,VET
3,171.0870377782139,170.5234730978029,STR
4,125.97721891227073,121.86425860361953,STR
5,238.27542931444881,240.26850407217162,VET
6,278.1544920560315,282.8295671794872,VET
7,280.39794369034126,293.2872867903224,VET
8,184.26818412500924,182.45546270050647,STR
9,146.99527998378713,143.514234712902,STR
10,252.76836609567567,253.8386644371074,VET
11,287.30483444798824,290.9347854701397,VET
12,299.45901363558283,300.6048994707612,VET
13,280.7143309779022,277.41272725135445,STR
14,292.633239508966,294.4872718676415,VET
15,294.9792114250225,297.908166784,VET
16,256.4663441721628,257.649535895751,VET
17,227.91307656190477,222.2782199730868,STR
18,274.1106741696975,275.3409693097004,VET
19,292.24479162222224,296.9207588417179,VET
20,297.26859323746487,302.3390202678614,VET
21,229.58927218566566,232.31483441918246,VET
22,254.75236531293748,259.49972007545364,VET
23,140.39196334634443,140.9104883928625,VET
24,219.20290756990275,214.88069000375307,STR
25,258.8833322666667,260.73333333333335,VET
