Minisector,HAM,ALO,Fastest
0,257.385712067741,260.25618430139366,ALO
1,136.9730975483037,133.15966660533485,HAM
2,265.43262854965985,268.39036502521793,ALO
3,306.89416231624585,309.0373477537278,ALO
4,306.05071428571426,308.52726204830475,ALO
5,315.28193808349675,314.88872689185183,HAM
6,320.37213827838826,317.18676666880003,HAM
7,320.090902175224,317.8313595753992,HAM
8,204.34363068161312,197.32356327245688,HAM
9,205.61899004535613,205.5576975029077,HAM
10,182.72718569861271,177.53069941804966,HAM
11,172.53692745474447,168.833852930079,HAM
12,259.9493295130795,255.33846823601962,HAM
13,279.80761850142983,273.82498529429574,HAM
14,287.0161950250441,282.2945184994855,HAM
15,273.25987286209175,255.8555105309871,HAM
16,178.2265798181322,168.07185619312145,HAM
17,196.71850791113187,195.22526875673006,HAM
18,244.29678819914102,247.06857205369863,ALO
19,286.49684639094204,289.05218085011666,ALO
20,305.39023333333336,307.3509444578682,ALO
21,311.5333770172093,312.4302392963975,ALO
22,308.92554563492064,309.5337773564835,ALO
23,251.66416479259593,244.88596630820706,HAM
24,126.51728664351273,120.68075749391471,HAM
