Minisector,BOT,RIC,Fastest
0,324.40905905573317,330.4401903518286,RIC
1,334.0350906702948,345.77773629059726,RIC
2,338.95286260819046,354.6400595657143,RIC
3,192.30453319267397,214.65101976647406,RIC
4,120.70254230056497,114.06438898316948,BOT
5,268.0515172228278,263.9444697003173,BOT
6,306.5479166666667,301.58909978509445,BOT
7,322.4734848969697,320.2938406956522,BOT
8,279.8103740702828,283.8303028323512,RIC
9,141.04928897326067,145.9950447079028,RIC
10,230.59725461136713,222.1818169717217,BOT
11,212.23409018511666,215.1611975858379,RIC
12,197.655442445541,196.38648888612022,BOT
13,270.79444448395066,267.0220124222169,BOT
14,311.98754140183223,307.0293545126294,BOT
15,330.1386963506128,322.3994943897445,BOT
16,270.04026678969774,260.91815428571425,BOT
17,196.5936039226178,201.2561108838625,RIC
18,269.46661817325025,267.34783976296296,BOT
19,308.45316117321215,307.54650581808056,BOT
20,325.5151515151515,322.8962585251701,BOT
21,316.360981068739,311.0072483065665,BOT
22,205.89288410517887,206.8509035215222,RIC
23,263.59219381210136,261.247769785266,BOT
24,306.4180951710476,304.761499904,BOT
