Minisector,RAI,VET,Fastest
0,251.85190692763356,259.6154458542846,VET
1,284.73956911733137,300.72642291127465,VET
2,174.1123178498277,174.853126849929,VET
3,163.47008506389201,166.5656295765518,VET
4,259.6621216,259.4480357942857,RAI
5,275.33842229526715,268.5890937792245,RAI
6,233.553624544,224.38237206153846,RAI
7,207.0642310181695,199.0574409322571,RAI
8,164.95899654965987,158.5844106213642,RAI
9,220.74372692546757,223.84932825790514,VET
10,271.24325424761906,276.14993395132274,VET
11,133.67001242424033,134.39182191635612,VET
12,216.64014606987436,221.7773829121398,VET
13,278.35479057414966,282.3942461968254,VET
14,299.17828951578946,304.3893546799019,VET
15,305.53636911238095,310.57523176296297,VET
16,242.6845228312381,236.81410194871796,RAI
17,130.09848273971312,131.0670969473911,VET
18,127.39687796069963,134.8872732952381,VET
19,118.80030932227494,120.5640072755851,VET
20,227.16664952144532,225.01034844835164,RAI
21,253.7528987826087,251.17673667002197,RAI
22,236.8107231058349,236.61718778514285,RAI
23,217.08155182275016,219.79124951583495,VET
24,137.0385676948276,136.52973389232366,RAI
