Minisector,RAI,HAR,Fastest
0,299.07618435741057,281.9559041333333,RAI
1,157.1066173424036,155.86683769076245,RAI
2,157.87976104126983,154.91366917223166,RAI
3,216.13901273629216,219.44726786206897,HAR
4,283.11979202424243,281.2111382392725,RAI
5,295.0141974668618,291.7507579636363,RAI
6,145.7584024462385,147.5938022278944,HAR
7,139.75593539448718,136.3028469564847,RAI
8,152.28689847887946,141.91163960658577,RAI
9,169.43433603084358,179.47792902654413,HAR
10,136.06053466230648,126.5280770519013,RAI
11,129.51287494568433,121.62959800322233,RAI
12,157.79074068142353,161.47891838479327,HAR
13,263.359417248,260.6217137127619,RAI
14,289.67585195151514,283.36124355461175,RAI
15,154.17336076285142,144.88267383199585,RAI
16,213.274633947995,198.6736753131313,RAI
17,159.6191866198843,162.14966941027888,HAR
18,264.79321342721215,264.69071795424793,RAI
19,287.22492864262057,286.1884057043478,RAI
20,299.5282564882507,298.0538763803348,RAI
21,306.5339568181406,303.83475041814063,RAI
22,310.32066326349207,308.17693452190474,RAI
23,313.9,311.94292413448136,RAI
24,310.81090861026433,308.5125000126984,RAI
25,311.0,,RAI
