Minisector,PIA,BOR,Fastest
0,268.82585098209523,267.8937841542562,PIA
1,287.30382239492064,287.0344276355556,PIA
2,293.78607162890756,291.90977564024604,PIA
3,131.24465315861949,133.32571965748164,BOR
4,198.08433210655625,195.98449907386396,PIA
5,255.22358610665668,253.66014657923097,PIA
6,145.2537878290476,139.99204475259637,PIA
7,211.6578684409931,207.9056748608919,PIA
8,258.2722124958025,258.1654840674143,PIA
9,274.82480236270675,277.3316762772161,BOR
10,245.79135031594134,235.37428795292234,PIA
11,185.334931336409,187.0982578143818,BOR
12,198.439878376178,194.5774187066481,PIA
13,141.00388937415917,144.7640537532581,BOR
14,178.74901341619446,173.55982241289607,PIA
15,166.6338278179069,165.84642409494504,PIA
16,222.01180117267083,217.5941229190418,PIA
17,245.17641662464766,236.56932415268574,PIA
18,249.05540953452171,241.95806509333335,PIA
19,241.57097866545732,252.7761931940189,BOR
20,149.91268037284826,142.28678262508842,PIA
21,134.4769294605628,130.53650075435573,PIA
22,169.7085432373788,168.66791176354917,PIA
23,153.8178599268661,152.1941564901515,PIA
24,233.13399026526315,226.95636528572155,PIA
25,258.08571245714285,252.0,PIA
