Minisector,LEC,BEA,Fastest
0,295.2366656295416,295.9843333594228,BEA
1,301.10728791714286,305.42992192,BEA
2,249.02689477579858,236.37525902786598,LEC
3,119.73999249287465,115.60111251767206,LEC
4,131.78139898053948,140.96726484327462,BEA
5,258.4443464977825,260.67574497774933,BEA
6,264.5363315950476,249.0186229773545,LEC
7,122.654731103812,121.38864172324826,LEC
8,242.8399878339048,244.46514516826355,BEA
9,248.85413643671495,248.506024934824,LEC
10,219.17404479739633,210.27122039820472,LEC
11,151.20280044399584,148.3832331238849,LEC
12,198.4101845388546,203.4768868663977,BEA
13,258.24908237883596,259.245551017944,BEA
14,117.38097797242968,113.60594059070156,LEC
15,182.86611429476073,185.39976637007493,BEA
16,266.9384092688186,264.65365528554975,LEC
17,308.0932340343487,311.9710897764021,BEA
18,318.07791671873014,318.61470576862746,BEA
19,310.66242825777033,323.3316458961929,BEA
20,304.9105555504762,326.3512499911111,BEA
21,175.0379698758322,162.58667430053924,LEC
22,137.65695219638476,155.796835099557,BEA
23,193.06037168285715,180.7094139380459,LEC
24,246.62666467852767,237.74284477323775,LEC
