Minisector,NOR,HUL,Fastest
0,278.237145778319,281.8252721158095,HUL
1,297.02377498744124,300.7035680419029,HUL
2,234.4652011976014,217.212402994023,NOR
3,109.63735250177525,107.41039664467097,NOR
4,124.2532853581793,127.50994214392352,HUL
5,250.01943440871963,249.95887485211418,NOR
6,241.0152542464469,256.74925279873014,HUL
7,121.59979570197522,118.02774125482053,NOR
8,244.9703897020586,238.37715693454865,NOR
9,251.09633181153146,237.07341857959713,NOR
10,208.00731195588244,196.4309151077395,NOR
11,131.97536252901403,137.00956986808072,HUL
12,205.97917232722833,194.96922927333333,NOR
13,259.6738572621,261.60041447799136,HUL
14,111.62951542245705,114.60643771949697,HUL
15,186.5264134000205,172.7351061747152,NOR
16,257.0028712780424,250.89422474544762,NOR
17,288.53783356395604,286.66255390742856,NOR
18,302.8263951879061,301.9881789590402,NOR
19,308.14640359017545,311.56339401757725,HUL
20,309.31593756,316.37887221413536,HUL
21,157.86645354409288,196.7770667132314,HUL
22,143.4687728202919,119.56196180106865,NOR
23,191.03903491444314,189.0960211183502,NOR
24,233.88070164540966,213.2696709733354,NOR
25,,260.01400098133337,HUL
