Minisector,PER,LEC,Fastest
0,269.7806255418256,266.7801472,PER
1,300.07371066666667,292.3336474867248,PER
2,321.06149357564425,304.77818631215683,PER
3,333.0429398192092,314.63031997142855,PER
4,340.8208547938462,320.2741319111111,PER
5,345.73781244571427,321.8352232285714,PER
6,221.3726120810729,201.85364502470668,PER
7,102.62560044316633,104.26816601245837,LEC
8,179.73868287647963,178.72832337737287,PER
9,260.2964750723597,255.02129641481483,PER
10,297.23272686545454,285.69047636825394,PER
11,169.19537045532851,165.79838303821882,PER
12,95.4422718168413,95.9591575574621,LEC
13,109.95170995713198,111.04326089740381,LEC
14,215.325688696,213.46601363014491,PER
15,181.18711699807778,185.29857896693173,LEC
16,219.33758023659908,222.07880523636365,LEC
17,169.2873116961134,172.7916894065934,LEC
18,224.5839877523221,234.11162185785125,LEC
19,274.102151648254,272.8931621495238,PER
20,239.55021434052802,246.93485449735448,LEC
21,145.11986366350047,145.0687459311614,PER
22,94.25943294408506,94.8015043621483,LEC
23,118.99136039796397,122.30965821617428,LEC
24,220.95803802222864,218.6232630233766,PER
25,253.1,251.62,PER
