Minisector,OCO,ALO,Fastest
0,273.82252258250116,279.40654191127584,ALO
1,294.725626710492,308.8973657136616,ALO
2,286.6813761616162,296.005061478796,ALO
3,167.82211201215273,169.14155827599103,ALO
4,114.01979299140929,109.7143256999702,OCO
5,235.68430816774514,235.55564128502954,OCO
6,282.12078451630055,278.5520504629848,OCO
7,291.21306763636363,285.2451155903841,OCO
8,165.03310051379492,166.75955846019207,ALO
9,133.75497465490588,134.211966358772,ALO
10,248.94660372348335,250.8031787171632,ALO
11,285.61686910020046,284.45216812375577,OCO
12,292.02129670877355,292.65821363938574,ALO
13,268.2049595125599,276.1873679899301,ALO
14,296.4983305906914,295.92936761021934,OCO
15,299.20025446982754,299.43419715263906,ALO
16,237.70141947009654,243.9043424308555,ALO
17,214.0773172556122,212.81078512765112,OCO
18,276.6057610554894,274.53228536449734,OCO
19,303.0549123568451,300.2004382898789,OCO
20,307.69276791033394,305.47559983675575,OCO
21,214.99237421543458,226.7193762335025,ALO
22,249.98132150191574,248.12234915770404,OCO
23,132.43603486362883,127.91709270307715,OCO
24,208.294943405032,204.74203524450712,OCO
25,253.3624992,,OCO
