Minisector,OCO,ALB,Fastest
0,264.6153689256651,249.80088751599618,OCO
1,126.0732283643139,132.0859452616367,ALB
2,267.2963538210653,265.77409309009136,OCO
3,315.57857131428574,305.94715106938776,OCO
4,315.4816165048051,304.3472700689655,OCO
5,325.10246913580244,311.9469708897544,OCO
6,339.72457404175753,316.74136902857146,OCO
7,345.1347618864762,318.73027455926194,OCO
8,197.42981128000986,195.31673034024473,OCO
9,192.46605763688186,198.02327337718077,ALB
10,181.93291509628784,173.37609751977175,OCO
11,162.57063804511876,169.6442081961609,ALB
12,250.22927653725105,255.35654994532865,ALB
13,266.95583625118775,274.09694018333334,ALB
14,277.30813150107525,278.37630310204275,ALB
15,271.37330603526397,262.5895211313131,OCO
16,185.1441561730159,186.70692177399903,ALB
17,189.6915282216395,190.0697146382161,ALB
18,241.19806066417814,245.30721028113567,ALB
19,288.28124199900725,288.15862759584195,OCO
20,310.7136931989923,308.99756472952237,OCO
21,318.57712631132546,315.20081291634506,OCO
22,315.03304467775695,308.9580959702788,OCO
23,254.88312066604448,218.84128415644514,OCO
24,112.60346063012065,116.85367079824364,ALB
25,227.4,,OCO
