Minisector,PIA,ALB,Fastest
0,276.510879010352,278.24945950281824,ALB
1,299.5755790952727,299.70665926557,ALB
2,301.495654532943,298.11719886980416,PIA
3,186.02884748739962,182.39035861178888,PIA
4,122.17456787878845,118.43840880623377,PIA
5,238.2903482669197,236.12957867913968,PIA
6,283.0547441879456,282.69385092751656,PIA
7,295.3483886282433,299.4621699865505,ALB
8,181.14064700849582,174.85757542427118,PIA
9,138.8810778282705,142.21058292932105,ALB
10,250.84306205857834,252.0818043162926,ALB
11,288.5693993074968,293.0521677160548,ALB
12,299.9086498291573,304.0675653750376,ALB
13,288.29436870350577,278.095506805857,PIA
14,306.2423026053333,304.8800140037125,PIA
15,310.3704337721212,302.38385941223453,PIA
16,258.09876271725716,242.85927643503862,PIA
17,222.23808146951427,218.08357491220227,PIA
18,277.8775216510145,280.9211422444618,ALB
19,305.99135765790476,308.1024133205988,ALB
20,314.51531221333335,311.43915444289246,PIA
21,249.93842457766235,228.44640530454564,PIA
22,266.5382441470037,259.3289318971524,PIA
23,138.51154755058732,135.03841800130752,PIA
24,212.07061904147466,219.7880142420896,ALB
