Minisector,RIC,ALB,Fastest
0,285.25318891462666,284.6619971047619,RIC
1,302.7413189483242,303.1748266222222,ALB
2,297.1689093665563,297.92567135710294,ALB
3,167.3426060977321,168.35976885005746,ALB
4,124.27367821343432,129.3668791696339,ALB
5,242.0071955038197,244.5395462599863,ALB
6,295.7953931140766,283.3052033012194,RIC
7,305.6960177030747,287.05988959413924,RIC
8,176.67837916983368,183.4322930085254,ALB
9,145.81688568452032,155.56021232373476,ALB
10,258.75343135317934,263.5708445244066,ALB
11,298.2254799253761,295.1100943553574,RIC
12,308.7541305918647,305.48168367942816,RIC
13,276.8218155664589,289.25037768780135,ALB
14,301.84543685714283,300.6907035479683,RIC
15,303.56798330723143,296.3831667316546,RIC
16,249.381300545156,252.68789902763584,ALB
17,223.53154990329452,239.07704140272605,ALB
18,287.4390006186666,283.1983408296296,RIC
19,318.9131007523051,299.14460154638016,RIC
20,332.96550283636367,293.12195528205126,RIC
21,221.00434067648033,235.0682817652561,ALB
22,258.33024746666666,262.9300129700057,ALB
23,144.62155847051406,135.54903085802317,RIC
24,225.78099626114752,233.1460046547572,ALB
25,265.44166613333334,,RIC
